がに股,がにまた
がぶ飲み,がぶのみ
がまん強い,がまんづよい
がま口,がまぐち
がらがら蛇,がらがらへび
がらがら蛇,ガラガラヘビ
がら明き,がらあき
がら空き,がらあき
がら空き,がらすき
がり勉,がりべん
がり版,がりばん
がん首,がんくび
きかん坊,きかんぼう
きき返す,ききかえす
きき酒,ききざけ
きな粉,きなこ
きな臭い,きなくさい
きのこ雲,きのこぐも
きめ細か,きめこまか
きめ細か,きめごまか
きめ細かい,きめこまかい
きもち良い,きもちよい
きも吸,きもすい
きも吸い,きもすい
きゅう舎,きゅうしゃ
きゅう首,きゅうしゅ
きょう正,きょうせい
きりきり舞い,きりきりまい
きれい事,きれいごと
き損,きそん
き裂,きれつ
ぎっくり腰,ぎっくりごし
くいしん坊,くいしんぼ
くいしん坊,くいしんぼう
くい止める,くいとめる
くい違い,くいちがい
くい違う,くいちがう
くぐり戸,くぐりど
くぐり抜ける,くぐりぬける
くされ縁,くされえん
くし形,くしがた
くじ引き,くじびき
くじ運,くじうん
くすり指,くすりゆび
くす玉,くすだま
くず屋,くずや
くず湯,くずゆ
くず物,くずもの
くず粉,くずこ
くず鉄,くずてつ
くせ毛,くせげ
くせ者,くせもの
くそ度胸,くそどきょう
くつ下,くつした
くつ箱,くつばこ
くの一,くのいち
くぼ地,くぼち
くみ上げる,くみあげる
くみ取る,くみとる
くもの巣,くものす
くも膜,くもまく
くらべ馬,くらべうま
くら替え,くらがえ
くり出す,くりだす
くり抜く,くりぬく
くり色,くりいろ
くり返し,くりかえし
くり返す,くりかえす
くわ入れ,くわいれ
くん蒸,くんじょう
くん製,くんせい
くノ一,くのいち
ぐい飲み,ぐいのみ
けが人,けがにん
けし粒,けしつぶ
けた外れ,けたはずれ
けた外れ,ケタハズレ
けた違い,けたちがい
けちん坊,けちんぼ
けちん坊,けちんぼう
けんか腰,けんかごし
けんちん汁,けんちんじる
けん伝,けんでん
けん制,けんせい
けん土重来,けんどじゅうらい
けん土重来,けんどちょうらい
けん引,けんいん
けん玉,けんだま
けん盤,けんばん
げん灯,げんとう
こうもり傘,こうもりがさ
こう着,こうちゃく
こう頭,こうとう
こがね虫,こがねむし
こがね虫,コガネムシ
こき下ろす,こきおろす
こき使う,こきつかう
こぎ着ける,こぎつける
こけら落し,こけらおとし
こけら落とし,こけらおとし
こげ茶,こげちゃ
こじ開ける,こじあける
こすれ合う,こすれあう
こそ泥,こそどろ
こっ酷い,こっぴどい
ことなかれ主義,ことなかれしゅぎ
ことば典,ことばてん
