聴,2.63,249,83331
褒,2.62,61,10024
活,2.61,166,777769
挿,2.61,76,38253
聖,2.59,427,224612
酒,2.59,331,106992
鼻,2.59,354,27903
戻,2.58,62,120570
化,2.57,722,1220761
信,2.57,1220,686556
閉,2.57,302,131440
垂,2.57,105,30500
渇,2.57,57,4785
店,2.55,428,634757
医,2.54,436,289350
立,2.53,2266,1861756
徳,2.53,804,261065
習,2.51,365,173410
痘,2.51,32,2035
詠,2.49,68,12365
期,2.47,783,1089029
伝,2.47,663,482807
韻,2.47,90,9017
公,2.46,1421,1438980
寿,2.46,368,81128
傑,2.46,65,18099
穏,2.46,88,14234
摯,2.45,15,1263
売,2.44,320,821366
歌,2.44,520,637287
酢,2.44,30,7580
住,2.43,521,392180
玉,2.42,703,224222
療,2.42,196,170958
却,2.42,98,54538
致,2.41,336,54259
尼,2.41,185,26431
痢,2.41,21,2572
飛,2.40,452,264042
換,2.40,246,189308
借,2.40,96,41426
捉,2.40,32,13819
妥,2.40,24,7886
襟,2.40,24,5252
論,2.38,419,382787
庫,2.38,423,311712
騒,2.38,83,37294
仙,2.37,383,128435
斎,2.37,371,53790
業,2.36,2152,1835139
失,2.36,116,234394
逸,2.35,113,27968
丙,2.35,83,3910
石,2.34,1891,608096
校,2.32,2509,1780391
栄,2.31,546,132390
討,2.31,185,77394
鏡,2.31,181,65367
拍,2.31,35,15771
睡,2.31,28,8945
貯,2.30,104,27342
荘,2.29,299,53306
暁,2.29,81,19478
白,2.28,1065,416508
児,2.28,324,224494
招,2.28,205,60529
棒,2.28,88,43461
胆,2.28,41,13734
袖,2.28,59,13459
矯,2.28,43,4687
泉,2.27,694,240023
丸,2.27,907,210400
遂,2.27,193,36473
薫,2.27,46,24166
践,2.27,35,17219
戚,2.27,54,10710
気,2.25,777,772520
食,2.25,459,321297
標,2.25,140,250584
然,2.25,315,198616
疾,2.25,115,27550
桃,2.24,201,59319
慰,2.24,96,17153
曇,2.24,50,8830
陸,2.23,417,375758
封,2.23,116,71675
詰,2.23,159,41311
抽,2.23,59,20212
焼,2.22,280,94588
遡,2.22,8,8500
夕,2.21,146,69030
倉,2.20,921,237332
帥,2.19,32,13899
題,2.18,125,466753
川,2.17,6851,1743353
軒,2.17,233,25118
輸,2.16,196,147706
是,2.16,156,15672
殖,2.15,110,38363
黙,2.14,67,20392
秩,2.13,78,22791
扇,2.13,108,19702
劇,2.12,153,357207
雲,2.12,587,110961
炎,2.11,106,70047
暫,2.11,54,19204
拾,2.11,140,15959
戸,2.10,1860,497804
獣,2.10,117,92667
窯,2.10,46,6654
繭,2.10,15,3046
秒,2.09,11,152543
高,2.08,3121,2093195
霊,2.08,297,107460
壌,2.08,41,11032
山,2.07,8328,2098380
王,2.07,1376,791045
及,2.07,1065,310550
穀,2.07,60,10389
眉,2.07,48,6529
醜,2.06,23,4230
南,2.05,3078,857664
災,2.05,131,114739
糖,2.05,70,28699
命,2.04,447,426230
志,2.04,1064,255029
烈,2.04,139,27266
但,2.04,43,25691
島,2.03,3438,1314254
際,2.03,205,690627
方,2.02,1159,1354022
侍,2.02,132,32556
畳,2.01,52,10987
関,2.00,738,1646723
遠,2.00,406,177502
行,1.99,1606,2763918
功,1.99,172,153715
韓,1.99,81,142457
矛,1.99,8,9427
光,1.98,1250,517804
宇,1.98,1076,266014
避,1.98,110,72829
咲,1.98,105,52806
研,1.97,528,544623
農,1.96,369,189604
庁,1.96,165,185087
抵,1.96,57,36058
潮,1.95,149,76699
剛,1.95,140,56705
僧,1.95,157,36834
賃,1.95,41,35524
船,1.94,714,323789
絶,1.94,128,139516
洗,1.94,127,44960
重,1.93,1500,721431
突,1.93,440,165239
仁,1.93,620,118090
峡,1.93,104,28347
伏,1.92,228,55993
慢,1.92,60,20447
押,1.91,452,80636
儀,1.91,278,62357
泣,1.91,139,24226
腫,1.90,37,16214
叫,1.90,93,16054
造,1.89,630,590565
丹,1.88,307,65691
鋭,1.88,33,20000
濯,1.88,38,4945
銘,1.87,142,27632
縫,1.87,66,9436
支,1.86,897,504606
夢,1.86,197,122748
日,1.85,3336,8973206
段,1.85,241,198783
騎,1.85,133,112568
穴,1.85,216,47334
碑,1.85,113,32959
城,1.84,1524,585257
魂,1.84,116,44786
措,1.84,46,21473
鐘,1.84,101,18841
鶏,1.83,93,13383
愚,1.83,84,10407
憬,1.83,13,763
律,1.82,173,105097
技,1.81,287,547930
浜,1.81,1087,314971
芸,1.81,280,307476
祖,1.81,260,101270
耳,1.81,143,35057
偉,1.81,82,16520
忌,1.81,117,14884
赦,1.81,41,9150
